Date,"Nigeria, WHOLESALE, Kano, Maize (white), NGN/100 kg"
02/01/2024,58935
01/01/2024,51900
12/01/2023,41172.5
11/01/2023,39410
10/01/2023,32676
09/01/2023,39970
08/01/2023,43957.5
07/01/2023,41110
06/01/2023,29421.88
05/01/2023,27810
04/01/2023,24740
03/01/2023,22917.5
02/01/2023,21117.5
01/01/2023,22860
12/01/2022,21917.5
11/01/2022,22417.5
10/01/2022,23048
09/01/2022,22917.5
08/01/2022,20652.5
07/01/2022,21468
06/01/2022,22417.5
05/01/2022,22700
04/01/2022,23117.5
03/01/2022,22817.5
02/01/2022,23945
01/01/2022,24162
12/01/2021,21970
11/01/2021,19092.5
10/01/2021,16920
09/01/2021,20900
08/01/2021,23194
07/01/2021,25200
06/01/2021,24420
05/01/2021,19428
04/01/2021,20445
03/01/2021,20235
02/01/2021,20010
01/01/2021,18542
12/01/2020,15562.5
11/01/2020,14222
10/01/2020,13440
09/01/2020,16592.5
08/01/2020,19304
07/01/2020,15465
06/01/2020,14392.5
05/01/2020,11266
04/01/2020,11052.5
03/01/2020,9536
02/01/2020,9205
01/01/2020,9290
12/01/2019,8544
11/01/2019,9720
10/01/2019,8770
09/01/2019,8930
08/01/2019,7942
07/01/2019,8382.5
06/01/2019,8756
05/01/2019,8921.75
04/01/2019,8955
03/01/2019,9007.4
02/01/2019,8860
01/01/2019,9120
12/01/2018,8977.4
11/01/2018,8662.5
10/01/2018,8465
09/01/2018,9544
08/01/2018,10130
07/01/2018,11777.6
06/01/2018,12271.5
05/01/2018,12700
04/01/2018,11740
03/01/2018,10700
02/01/2018,10200
01/01/2018,10100
12/01/2017,8270
11/01/2017,8550
10/01/2017,9040
09/01/2017,12000
08/01/2017,14400
07/01/2017,13800
06/01/2017,15500
05/01/2017,14500
04/01/2017,17360
03/01/2017,14400
02/01/2017,13650
01/01/2017,14120
12/01/2016,11900
11/01/2016,10950
10/01/2016,12800
09/01/2016,13250
08/01/2016,13750
07/01/2016,11540
06/01/2016,10600
05/01/2016,9920
04/01/2016,8225
03/01/2016,7350
02/01/2016,7100
01/01/2016,6444
12/01/2015,5120
11/01/2015,5120
10/01/2015,5390
09/01/2015,5600
08/01/2015,4960
07/01/2015,4850
06/01/2015,5100
05/01/2015,4880
04/01/2015,4640
03/01/2015,4696
02/01/2015,4840
01/01/2015,4800
12/01/2014,4810
11/01/2014,5244
10/01/2014,6000
09/01/2014,6000
08/01/2014,6000
07/01/2014,6000
06/01/2014,
05/01/2014,
04/01/2014,5966.67
03/01/2014,6000
02/01/2014,6100
01/01/2014,6800
12/01/2013,6500
11/01/2013,6500
10/01/2013,
09/01/2013,
08/01/2013,
07/01/2013,
06/01/2013,
05/01/2013,
04/01/2013,
03/01/2013,
02/01/2013,
01/01/2013,
12/01/2012,
11/01/2012,
10/01/2012,
09/01/2012,
08/01/2012,
07/01/2012,
06/01/2012,
05/01/2012,
04/01/2012,6800
03/01/2012,6200
02/01/2012,6300
01/01/2012,5500
12/01/2011,6500
11/01/2011,5500
10/01/2011,5800
09/01/2011,5500
08/01/2011,5500
07/01/2011,5500
06/01/2011,6000
05/01/2011,5800
04/01/2011,5600
03/01/2011,5000
02/01/2011,4500
01/01/2011,4500
12/01/2010,4800
11/01/2010,5100
10/01/2010,4200
09/01/2010,4200
08/01/2010,4500
07/01/2010,5500
06/01/2010,5200
05/01/2010,5300
04/01/2010,5100
03/01/2010,5300
02/01/2010,5300
01/01/2010,5300
12/01/2009,5300
11/01/2009,4500
10/01/2009,5000
09/01/2009,4500
08/01/2009,6300
07/01/2009,6400
06/01/2009,5800
05/01/2009,5000
04/01/2009,5400
03/01/2009,5200
02/01/2009,5700
01/01/2009,5500
12/01/2008,4400
11/01/2008,4500
10/01/2008,6500
09/01/2008,6800
08/01/2008,5900
07/01/2008,7600
06/01/2008,6800
05/01/2008,6400
04/01/2008,5200
03/01/2008,5800
02/01/2008,5500
01/01/2008,5500
12/01/2007,4420
11/01/2007,4300
10/01/2007,4000
09/01/2007,2795
08/01/2007,2765
07/01/2007,2375
06/01/2007,2400
05/01/2007,2350
04/01/2007,2350
03/01/2007,2450
02/01/2007,2350
01/01/2007,3150
12/01/2006,2875
11/01/2006,2500
10/01/2006,3000
09/01/2006,3000
08/01/2006,3000
07/01/2006,3000
06/01/2006,3300
05/01/2006,3300
04/01/2006,3300
03/01/2006,3300
02/01/2006,3300
01/01/2006,3500
12/01/2005,3500
11/01/2005,4000
10/01/2005,4500
09/01/2005,5000
08/01/2005,5500
07/01/2005,6000
06/01/2005,6000
05/01/2005,6500
04/01/2005,6500
03/01/2005,6000
02/01/2005,7100
01/01/2005,7000
12/01/2004,6000
11/01/2004,6500
