"Variable","VIF"
"GDP",3.54889331304983
"RealInterest",2.8522371834627
"LocalMaizePrice",3.28339754263599
"ElectionYr",1.22814514378082
"OneYrAfterElectionYr",1.31776799530047
"LocalMaizeYield",3.85132316723447
"ForexRev",6.98503763964952
"WorldUreaPrice",4.13057766029675
"WorldGasPrice",3.15047225804407
"Wedge",1.62245716168411
"UreaMaizeRatio",5.90757506176958
"LagMaize",1.0899733790088
"CorruptionControl",4.55373514655483
"ExchangeRateMovements",1.05664269629272
"CPIMovements",1.05968039976509
"CR4ratioAnnual",2.09987427439281
"MonthlyUreaImportMT",4.04401914070065
"NumFirmsSellingFert",3.2718867522548
"Fuel",2.47904301917968
"SharePrivateSectorSalesAnnual",2.30706675561654
