"","variable","mean_Ghana","mean_Kenya","mean_Malawi","mean_Nigeria","mean_Tanzania","mean_Zambia","sd_Ghana","sd_Kenya","sd_Malawi","sd_Nigeria","sd_Tanzania","sd_Zambia"
"1","Diammonium.Phosphate",NA,72930.6572573861,466666.666666667,NA,1365817.53432308,NA,NA,17809.2931518801,11547.0053837925,NA,217221.778656826,NA
"2","NPK",2695.21403900441,69092.3432038613,350138.578311012,187311.189482491,1289337.33765666,9044.67782398442,2329.90546330987,18057.3806012724,102317.670144505,130254.884533993,152762.494367229,4760.187885695
"3","Urea",2848.47397978407,62820.9159508427,326862.950728091,167345.511401963,1111483.74071467,8982.11258204297,2827.96180187717,22006.3857623559,104479.770917428,101762.19224256,205201.445015226,4832.13766575732
"4","RealInterest",17.8739514348786,7.81521508283393,17.206519339334,6.40487722441921,8.80425540852642,2.1391424486894,3.96351652513688,2.01010450857492,5.15613320552259,3.74024079360654,4.08095421299189,2.99836430884436
"5","ForexReserves",6061.05137239064,7283.56435506318,553.826570984749,36762.8982260879,4582.02663385044,2301.16875195317,1266.04738055311,1542.66540713468,216.712588546178,5286.05969932473,618.137077091683,668.909195585373
"6","ElectionYr",0.317880794701987,0.298701298701299,0.1875,0.324324324324324,0.094488188976378,0.205128205128205,0.467202467561296,0.459181854556403,0.391846024717126,0.469711392301021,0.293665149613446,0.405532037478854
"7","ElectionYr1",0.23841059602649,0.311688311688312,0.09375,0.243243243243243,0.094488188976378,0.205128205128205,0.427529480800614,0.464694439199863,0.292625906679232,0.430497602000505,0.293665149613446,0.405532037478854
"8","GDP",61739.0846788146,79175.616078948,8408.830187375,452546.440231459,50339.5837081811,23848.2743273077,9663.47164111354,22231.6723946116,1807.99956013382,53222.6432347743,10194.5452190487,3237.95648221114
"9","ControlofCorruption",-0.129279227057681,-0.916256958014005,-0.639303352683782,-1.13437537889223,-0.592694987696926,-0.5459096294183,0.0686965052237921,0.104931539718464,0.152832722938427,0.0662125391835325,0.13703922805573,0.157771368730696
"10","SharePrivateSectorSalesAnnual",0.70012607723604,0.681185916752648,0.5328125,1,1,0.602770121820707,0.29325866835038,0.235222528261672,0.247637458845834,0,0,0.186826719499043
"11","NumFirmsImportingFert",25.0662251655629,11.6103896103896,16.3125,17.972972972973,11.488188976378,37.5384615384615,6.33894720404178,2.52131226417636,3.49971877385355,4.98425540935245,2.85875470094847,7.76546117548111
"12","WorldUrea",335.095496688742,333.54461038961,286.208984375,336.826283783784,286.533464566929,322.23452991453,156.969709352638,155.835737241113,80.8678590157736,158.065989880316,81.1044298926943,170.706130687515
"13","Natural.gas.index",102.253708609272,102.120324675325,82.701796875,102.270405405405,82.850157480315,102.04094017094,64.6794808226524,64.0522609787914,24.2497432223955,65.3358958217282,24.2873909406746,73.4490636190976
"14","Diesel",6.30672033898305,108.346720338983,804.863292682927,0.472429906542056,1956.38024691358,14.7551779661017,4.21884015106837,30.1279047770411,75.1310764401062,0.0946676522376037,217.278651401693,6.32764633958209
"15","ExchangeRate",4.69745642944785,99.7130710060241,501.40327809375,304.08719540625,1921.1573283937,12.8277112945736,2.87385056463846,15.9126150473926,225.431523081624,149.496824091602,330.689546513406,5.32833154431406
"16","CPI",0.699929425675467,0.772451234472617,0.489761417322835,0.612862007752891,0.760886149293844,0.691919464354346,0.382585500344279,0.193893323504735,0.224546737824927,0.300246299561145,0.137395093293001,0.250611750305363
"17","MaizePrice",1673.6395443038,38138.416,99413,119582.927428571,506056.461714286,2053.16875,1145.4446438011,14203.0265812717,56567.1482457921,79444.8192638474,150726.72346459,1022.37246104073
"18","MonthlyUreaImportMT",8150.04638446429,36472.5949264706,20415.4144258342,38359.7880357143,34375.4060014286,13612.1415719444,9362.85802342146,23692.717324528,26312.2491715542,29534.6073188274,26403.3755568061,4387.05341466992
"19","UreaUSD",540.432355774126,626.34229762695,716.678256225702,553.979878397823,600.590183361231,694.170208417145,223.714764301504,165.424943610049,188.951207767697,151.744576210733,176.372219924468,174.160640080741
